frame_index,timestamp,face_count,raw_score,smoothed_score,verdict
34,1.1333,1,0.999717,0.999717,FAKE
38,1.2667,1,0.997293,0.998505,FAKE
40,1.3333,1,0.999497,0.998836,FAKE
44,1.4667,1,0.999118,0.998906,FAKE
46,1.5333,1,0.984498,0.996025,FAKE
48,1.6000,1,0.999617,0.996005,FAKE
50,1.6667,1,0.999826,0.996511,FAKE
52,1.7333,1,0.999756,0.996563,FAKE
54,1.8000,1,0.999726,0.996685,FAKE
56,1.8667,1,0.999328,0.999651,FAKE
58,1.9333,1,0.999338,0.999595,FAKE
60,2.0000,1,0.999490,0.999528,FAKE
62,2.0667,1,0.999427,0.999462,FAKE
64,2.1333,1,0.999766,0.999470,FAKE
66,2.2000,1,0.999128,0.999430,FAKE
68,2.2667,1,0.999088,0.999380,FAKE
70,2.3333,1,0.996610,0.998804,FAKE
72,2.4000,1,0.999713,0.998861,FAKE
74,2.4667,1,0.999531,0.998814,FAKE
76,2.5333,1,0.999352,0.998859,FAKE
78,2.6000,1,0.999758,0.998993,FAKE
80,2.6667,1,0.999487,0.999568,FAKE
82,2.7333,1,0.999811,0.999588,FAKE
84,2.8000,1,0.999888,0.999659,FAKE
94,3.1333,1,0.999808,0.999750,FAKE
160,5.3333,1,0.989696,0.997738,FAKE
162,5.4000,1,0.999650,0.997771,FAKE
164,5.4667,1,0.999379,0.997684,FAKE
170,5.6667,1,0.999327,0.997572,FAKE
172,5.7333,1,0.998682,0.997347,FAKE
174,5.8000,1,0.998100,0.999027,FAKE
176,5.8667,1,0.998897,0.998877,FAKE
178,5.9333,1,0.998040,0.998609,FAKE
180,6.0000,1,0.996390,0.998022,FAKE
182,6.0667,1,0.997763,0.997838,FAKE
184,6.1333,1,0.997025,0.997623,FAKE
186,6.2000,1,0.998763,0.997596,FAKE
188,6.2667,1,0.989996,0.995987,FAKE
190,6.3333,1,0.998218,0.996353,FAKE
192,6.4000,1,0.998936,0.996587,FAKE
194,6.4667,1,0.987842,0.994751,FAKE
196,6.5333,1,0.995981,0.994194,FAKE
198,6.6000,1,0.992693,0.994734,FAKE
200,6.6667,1,0.999567,0.995004,FAKE
352,11.7333,1,0.999237,0.995064,FAKE
354,11.8000,1,0.992210,0.995938,FAKE
356,11.8667,1,0.995125,0.995767,FAKE
428,14.2667,1,0.998300,0.996888,FAKE
430,14.3333,1,0.991775,0.995329,FAKE
432,14.4000,1,0.997449,0.994972,FAKE
434,14.4667,1,0.990319,0.994594,FAKE
436,14.5333,1,0.998911,0.995351,FAKE
438,14.6000,1,0.996638,0.995018,FAKE
440,14.6667,1,0.996657,0.995995,FAKE
442,14.7333,1,0.999200,0.996345,FAKE
444,14.8000,1,0.995185,0.997318,FAKE
446,14.8667,1,0.995993,0.996734,FAKE
448,14.9333,1,0.906010,0.978609,FAKE
450,15.0000,1,0.857736,0.950825,FAKE
452,15.0667,1,0.975689,0.946123,FAKE
454,15.1333,1,0.984129,0.943911,FAKE
456,15.2000,1,0.996139,0.943941,FAKE
458,15.2667,1,0.997155,0.962170,FAKE
460,15.3333,1,0.995111,0.989645,FAKE
462,15.4000,1,0.981480,0.990803,FAKE
464,15.4667,1,0.995029,0.992983,FAKE
466,15.5333,1,0.995033,0.992761,FAKE
468,15.6000,1,0.999542,0.993239,FAKE
470,15.6667,1,0.999154,0.994047,FAKE
472,15.7333,1,0.999182,0.997588,FAKE
474,15.8000,1,0.987594,0.996101,FAKE
