frame_index,timestamp,face_count,raw_score,smoothed_score,verdict
0,0.0000,1,0.336137,0.336137,REAL
2,0.0800,1,0.526316,0.431226,REAL
4,0.1600,1,0.547616,0.470023,REAL
6,0.2400,1,0.511219,0.480322,REAL
8,0.3200,1,0.521868,0.488631,REAL
10,0.4000,1,0.501755,0.521755,FAKE
12,0.4800,1,0.278974,0.472286,REAL
14,0.5600,1,0.435137,0.449790,REAL
16,0.6400,1,0.466762,0.440899,REAL
18,0.7200,1,0.502709,0.437067,REAL
20,0.8000,1,0.457223,0.428161,REAL
22,0.8800,1,0.432929,0.458952,REAL
24,0.9600,1,0.322362,0.436397,REAL
26,1.0400,1,0.267101,0.396465,REAL
28,1.1200,1,0.370465,0.370016,REAL
30,1.2000,1,0.367667,0.352105,REAL
32,1.2800,1,0.338976,0.333314,REAL
34,1.3600,1,0.401634,0.349169,REAL
36,1.4400,1,0.351001,0.365949,REAL
38,1.5200,1,0.423194,0.376494,REAL
40,1.6000,1,0.429125,0.388786,REAL
42,1.6800,1,0.380094,0.397010,REAL
44,1.7600,1,0.421862,0.401055,REAL
46,1.8400,1,0.515027,0.433860,REAL
48,1.9200,1,0.292209,0.407663,REAL
50,2.0000,1,0.424112,0.406661,REAL
52,2.0800,1,0.426331,0.415908,REAL
54,2.1600,1,0.221890,0.375914,REAL
56,2.2400,1,0.370996,0.347107,REAL
58,2.3200,1,0.517976,0.392261,REAL
60,2.4000,1,0.217487,0.350936,REAL
62,2.4800,1,0.312233,0.328116,REAL
64,2.5600,1,0.460458,0.375830,REAL
66,2.6400,1,0.486206,0.398872,REAL
68,2.7200,1,0.333665,0.362010,REAL
70,2.8000,1,0.343173,0.387147,REAL
72,2.8800,1,0.213770,0.367454,REAL
74,2.9600,1,0.380056,0.351374,REAL
76,3.0400,1,0.306498,0.315433,REAL
78,3.1200,1,0.353721,0.319444,REAL
80,3.2000,1,0.441695,0.339148,REAL
82,3.2800,1,0.399216,0.376237,REAL
84,3.3600,1,0.210049,0.342236,REAL
86,3.4400,1,0.349806,0.350898,REAL
88,3.5200,1,0.321559,0.344465,REAL
90,3.6000,1,0.220744,0.300275,REAL
92,3.6800,1,0.423542,0.305140,REAL
94,3.7600,1,0.242348,0.311600,REAL
96,3.8400,1,0.231110,0.287861,REAL
98,3.9200,1,0.338291,0.291207,REAL
100,4.0000,1,0.362025,0.319463,REAL
102,4.0800,1,0.329443,0.300644,REAL
104,4.1600,1,0.324112,0.316996,REAL
