frame_index,timestamp,face_count,raw_score,smoothed_score,verdict,boxes
34,1.1333,1,0.999717,0.999717,FAKE,"[[104, 3, 526, 425]]"
38,1.2667,1,0.997293,0.998505,FAKE,"[[112, 5, 526, 419]]"
40,1.3333,1,0.999497,0.998836,FAKE,"[[104, 4, 526, 426]]"
44,1.4667,1,0.999118,0.998906,FAKE,"[[104, 2, 526, 424]]"
46,1.5333,1,0.984498,0.996025,FAKE,"[[116, 3, 544, 431]]"
48,1.6000,1,0.999617,0.996005,FAKE,"[[134, 9, 552, 427]]"
50,1.6667,1,0.999826,0.996511,FAKE,"[[138, 5, 562, 429]]"
52,1.7333,1,0.999756,0.996563,FAKE,"[[153, 14, 572, 433]]"
54,1.8000,1,0.999726,0.996685,FAKE,"[[155, 13, 577, 435]]"
56,1.8667,1,0.999328,0.999651,FAKE,"[[158, 10, 575, 427]]"
58,1.9333,1,0.999338,0.999595,FAKE,"[[155, 14, 582, 441]]"
60,2.0000,1,0.999490,0.999528,FAKE,"[[156, 11, 577, 432]]"
62,2.0667,1,0.999427,0.999462,FAKE,"[[161, 14, 577, 430]]"
64,2.1333,1,0.999766,0.999470,FAKE,"[[159, 15, 575, 431]]"
66,2.2000,1,0.999128,0.999430,FAKE,"[[161, 23, 575, 437]]"
68,2.2667,1,0.999088,0.999380,FAKE,"[[161, 23, 573, 435]]"
70,2.3333,1,0.996610,0.998804,FAKE,"[[157, 17, 570, 430]]"
72,2.4000,1,0.999713,0.998861,FAKE,"[[154, 13, 581, 440]]"
74,2.4667,1,0.999531,0.998814,FAKE,"[[152, 11, 578, 437]]"
76,2.5333,1,0.999352,0.998859,FAKE,"[[147, 15, 571, 439]]"
78,2.6000,1,0.999758,0.998993,FAKE,"[[148, 16, 570, 438]]"
80,2.6667,1,0.999487,0.999568,FAKE,"[[150, 16, 574, 440]]"
82,2.7333,1,0.999811,0.999588,FAKE,"[[156, 12, 573, 429]]"
84,2.8000,1,0.999888,0.999659,FAKE,"[[164, 2, 563, 401]]"
94,3.1333,1,0.999808,0.999750,FAKE,"[[168, 0, 556, 388]]"
160,5.3333,1,0.989696,0.997738,FAKE,"[[114, 0, 508, 394]]"
162,5.4000,1,0.999650,0.997771,FAKE,"[[108, 0, 516, 408]]"
164,5.4667,1,0.999379,0.997684,FAKE,"[[114, 2, 508, 396]]"
170,5.6667,1,0.999327,0.997572,FAKE,"[[100, 4, 521, 425]]"
172,5.7333,1,0.998682,0.997347,FAKE,"[[101, 6, 524, 429]]"
174,5.8000,1,0.998100,0.999027,FAKE,"[[103, 13, 533, 443]]"
176,5.8667,1,0.998897,0.998877,FAKE,"[[97, 20, 527, 450]]"
178,5.9333,1,0.998040,0.998609,FAKE,"[[102, 20, 523, 441]]"
180,6.0000,1,0.996390,0.998022,FAKE,"[[108, 17, 529, 438]]"
182,6.0667,1,0.997763,0.997838,FAKE,"[[106, 14, 527, 435]]"
184,6.1333,1,0.997025,0.997623,FAKE,"[[107, 9, 528, 430]]"
186,6.2000,1,0.998763,0.997596,FAKE,"[[109, 5, 533, 429]]"
188,6.2667,1,0.989996,0.995987,FAKE,"[[114, 11, 531, 428]]"
190,6.3333,1,0.998218,0.996353,FAKE,"[[114, 15, 539, 440]]"
